receipt_number,item_id,variant_id,quantity,price,gross_total_money,total_money,cost,cost_total,line_note
1-1099,3682e08b-8584-4158-b819-f0353e692ce3,621d7c1a-6221-4c4c-aa76-a207a3e43bf5,1,1732.5,1732.5,1732.5,1500.0,1500.0,
1-1099,ed4edb5d-ae60-400c-a868-052a1e873132,b7c0b7c4-ccbe-4091-9985-f9188e9d3e59,10,89.25,892.5,892.5,138.96,1389.6,
1-1099,6dafecf4-366d-41b0-b16f-77d2d67417f2,25eae14a-b16f-41ab-a8ef-5552a8d070f6,5,551.25,2756.25,2756.25,525.0,2625.0,
1-1099,6fa95493-98e1-4292-841b-c22a149f7e71,c0ea6a1b-c96b-4ecf-8dcf-87af6f407bb6,1,33075.0,33075.0,33075.0,31500.0,31500.0,
1-1099,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,1,4200.0,4200.0,4200.0,4000.0,4000.0,
1-1099,1036fbc1-7177-49ea-9473-93b876f008d8,b6d8f2a5-510f-4fde-a5ce-bcdd25138a28,2,3100.0,6200.0,6200.0,2690.48,5380.96,
1-1099,06c778a8-a31c-41ed-b5e6-2b773417e6dd,cd766f10-5b83-49e3-b45a-ff6a5f32a888,4,1771.8,7087.2,7087.2,1708.68,6834.72,
1-1099,796ab850-69f9-4c92-a528-0343ead97d59,5ed0c6e5-8145-4da5-aba6-3f06adbe9856,50,50.35,2517.5,2517.5,35.0,1750.0,
1-1099,796ab850-69f9-4c92-a528-0343ead97d59,2b7addd6-3440-4b71-bf9e-a2fd7e764c25,25,60.0,1500.0,1500.0,31.43,785.75,
1-1099,6833bf5a-5f20-4678-a836-a2505fedd53f,ec7f49e8-6f53-4b87-8584-565396f57516,1,1837.5,1837.5,1837.5,1750.0,1750.0,
1-1099,2e8facad-232e-4563-a76b-e4eeb4ecb930,47cae377-c641-46b1-a7d6-dab6cc3e02a6,1,3045.0,3045.0,3045.0,2800.0,2800.0,
1-1099,796ab850-69f9-4c92-a528-0343ead97d59,ca7745b7-4aed-43be-8c1d-fc35945116de,10,525.0,5250.0,5250.0,518.89,5188.9,
1-1099,80b1f785-1ec6-45d3-8fa7-f5b687ede381,720f7005-7254-4fd1-9997-f07d06ccbdbd,7,787.5,5512.5,5512.5,729.64,5107.48,
1-1099,2557ae06-37a1-45f5-b2ca-530d552004dd,82afe3a0-ac05-4b68-821d-a92f5aef228f,4,498.75,1995.0,1995.0,466.13,1864.52,
1-1099,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,2,542.5,1085.0,1085.0,516.67,1033.34,
1-1099,fab875af-b55d-45d4-9214-c4f706e7ec8a,8c1ad26b-00f7-45ac-82c6-b390262dd53b,200,63.0,12600.0,12600.0,63.0,12600.0,
1-1099,b50c4698-c8c0-4cbd-a6ea-0570e619e9a9,d180740a-0e1a-49a8-9c8a-d5c6a7e741da,1,13125.0,13125.0,13125.0,0.0,0.0,0.5
1-1099,0b6bbde9-4918-47b9-aaa1-fbf649bc191a,92398a32-71e1-4f0b-aa33-54fb5f5b3d7c,1,15900.0,15900.0,15900.0,0.0,0.0,1.5
1-1099,70915492-d96f-442c-baea-124f7d7aaf03,797edc26-0dd9-46bc-915c-b14254edaca9,1,11025.0,11025.0,11025.0,0.0,0.0,1.5
1-1099,c197ef5b-4773-4f92-9ff1-e65f75556477,57e9b4f5-b90d-436f-924b-f5f7459cf00f,2,1470.0,2940.0,2940.0,0.0,0.0,
