receipt_number,created_at,item_id,variant_id,sku,quantity,price,gross_total_money,cost,cost_total,line_note
1-1124,2023-04-03 10:03:51+00:00,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,10001,8,2067.19,16537.52,1968.75,15750.0,
1-1124,2023-04-03 10:03:51+00:00,1036fbc1-7177-49ea-9473-93b876f008d8,b6d8f2a5-510f-4fde-a5ce-bcdd25138a28,10002,2,3000.0,6000.0,2679.03,5358.06,
1-1124,2023-04-03 10:03:51+00:00,ed4edb5d-ae60-400c-a868-052a1e873132,b7c0b7c4-ccbe-4091-9985-f9188e9d3e59,10097,10,89.25,892.5,103.38,1033.8,
1-1124,2023-04-03 10:03:51+00:00,6dafecf4-366d-41b0-b16f-77d2d67417f2,4299b3db-7ddd-4a47-8aef-f37724c8c0ce,10024,1,210.0,210.0,400.0,400.0,0.5
1-1124,2023-04-03 10:03:51+00:00,8c03d8c8-e52b-46f8-ae90-e81f51f99cea,34d58b24-2559-48f6-9c67-4128077e7a20,10193,7,787.5,5512.5,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,10014,2,542.5,1085.0,516.67,1033.34,
1-1124,2023-04-03 10:03:51+00:00,14a3df3f-8ac4-43ed-9e59-7a80ebe92265,a76f7d79-62e3-4a7b-bf2f-7530bb615c52,10009,4,189.0,756.0,176.1,704.4,
1-1124,2023-04-03 10:03:51+00:00,85d2019a-8c4d-4645-9c41-be5b1dd82201,b1850e8b-e66a-4b76-b133-4a40daf63dfd,10206,4,275.0,1100.0,250.0,1000.0,
1-1124,2023-04-03 10:03:51+00:00,408fc36d-a47d-4b1d-8761-0da59acb47d0,89ddcad8-8079-4f42-aef8-2aa41b95a5ad,10018,4,892.5,3570.0,855.0,3420.0,
1-1124,2023-04-03 10:03:51+00:00,b3493bbf-1d3d-4961-92d9-003f07af4134,20a15a56-edc6-464b-bdfd-a8e8bdeebf43,10095,1,6875.0,6875.0,6250.0,6250.0,
1-1124,2023-04-03 10:03:51+00:00,6fa95493-98e1-4292-841b-c22a149f7e71,c0ea6a1b-c96b-4ecf-8dcf-87af6f407bb6,10012,1,33075.0,33075.0,31500.0,31500.0,
1-1124,2023-04-03 10:03:51+00:00,ae262746-683e-4e89-951e-fa53e084e9ec,1f2d075b-fee3-4b85-a7b1-116271586f37,10085,1,1312.5,1312.5,1857.64,1857.64,
1-1124,2023-04-03 10:03:51+00:00,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,10048,1,4200.0,4200.0,3923.81,3923.81,
1-1124,2023-04-03 10:03:51+00:00,fab875af-b55d-45d4-9214-c4f706e7ec8a,8c1ad26b-00f7-45ac-82c6-b390262dd53b,10100,150,63.0,9450.0,63.0,9450.0,
1-1124,2023-04-03 10:03:51+00:00,796ab850-69f9-4c92-a528-0343ead97d59,5ed0c6e5-8145-4da5-aba6-3f06adbe9856,10004,25,36.75,918.75,33.23,830.75,
1-1124,2023-04-03 10:03:51+00:00,796ab850-69f9-4c92-a528-0343ead97d59,2b7addd6-3440-4b71-bf9e-a2fd7e764c25,10005,25,63.0,1575.0,31.43,785.75,
1-1124,2023-04-03 10:03:51+00:00,a4700291-f1eb-4e8e-b5a7-457e9e995f1a,ad22520b-5744-4882-bd46-7993939eec9f,10074,2,2000.0,4000.0,1500.0,3000.0,
1-1124,2023-04-03 10:03:51+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,10020,20,2628.15,52563.0,2503.0,50060.0,
1-1124,2023-04-03 10:03:51+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,3,22575.0,67725.0,22000.0,66000.0,
1-1124,2023-04-03 10:03:51+00:00,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,10030,4,5000.0,20000.0,4750.0,19000.0,
1-1124,2023-04-03 10:03:51+00:00,25ba0c41-8121-4a0b-9d90-c1df9bd76544,a41354ba-7639-487e-939e-350eba92f844,10174,1,787.5,787.5,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,dc794069-20b5-4244-8896-b0f132b0b65d,595db0eb-64df-466e-aa05-88250a82c0a6,10178,3,1050.0,3150.0,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,ae96be07-d4fe-4f39-b674-7b1e4ce38eba,af0b38b2-a222-40c9-a206-087fda514f6e,10209,3,105.0,315.0,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,a95721fc-9e66-469f-a3a2-f747beb85363,084fcf16-3aaf-49b8-9140-6f5afc825ac8,10207,2,2100.0,4200.0,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,5d7a05c2-2fba-4fd8-84ff-3cf26a349608,9ee521e9-f70c-4e2c-bb30-803188c574e1,10153,1,2310.0,2310.0,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,0b6bbde9-4918-47b9-aaa1-fbf649bc191a,92398a32-71e1-4f0b-aa33-54fb5f5b3d7c,10145,2,9450.0,18900.0,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,dce3b23c-fccb-44a2-a229-7bdb9ca04184,eb857c3b-ac08-4b69-824d-51643a7459c5,10010,5,1155.0,5775.0,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,b50c4698-c8c0-4cbd-a6ea-0570e619e9a9,d180740a-0e1a-49a8-9c8a-d5c6a7e741da,10066,1,13125.0,13125.0,0.0,0.0,
1-1124,2023-04-03 10:03:51+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,5000.0,5000.0,4000.0,4000.0,
1-1123,2023-04-03 09:45:22+00:00,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,10001,8,2067.19,16537.52,1968.75,15750.0,
1-1123,2023-04-03 09:45:22+00:00,1036fbc1-7177-49ea-9473-93b876f008d8,b6d8f2a5-510f-4fde-a5ce-bcdd25138a28,10002,2,3000.0,6000.0,2679.03,5358.06,
